Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,81074,1940,01,23,,,
IDCJAC0009,81074,1940,01,24,,,
IDCJAC0009,81074,1940,01,25,,,
IDCJAC0009,81074,1940,01,26,,,
IDCJAC0009,81074,1940,01,27,,,
IDCJAC0009,81074,1940,01,28,,,
IDCJAC0009,81074,1940,01,29,,,
IDCJAC0009,81074,1940,01,30,,,
IDCJAC0009,81074,1940,01,31,,,
IDCJAC0009,81074,1940,02,01,,,
IDCJAC0009,81074,1940,02,02,,,
IDCJAC0009,81074,1940,02,03,,,
IDCJAC0009,81074,1940,02,04,,,
IDCJAC0009,81074,1940,02,05,,,
IDCJAC0009,81074,1940,02,06,,,
IDCJAC0009,81074,1940,02,07,,,
IDCJAC0009,81074,1940,02,08,,,
IDCJAC0009,81074,1940,02,09,,,
IDCJAC0009,81074,1940,02,10,,,
IDCJAC0009,81074,1940,02,11,,,
IDCJAC0009,81074,1940,02,12,,,
IDCJAC0009,81074,1940,02,13,,,
IDCJAC0009,81074,1940,02,14,,,
IDCJAC0009,81074,1940,02,15,,,
IDCJAC0009,81074,1940,02,16,,,
IDCJAC0009,81074,1940,02,17,,,
IDCJAC0009,81074,1940,02,18,,,
IDCJAC0009,81074,1940,02,19,,,
IDCJAC0009,81074,1940,02,20,,,
IDCJAC0009,81074,1940,02,21,,,
IDCJAC0009,81074,1940,02,22,,,
IDCJAC0009,81074,1940,02,23,,,
IDCJAC0009,81074,1940,02,24,,,
IDCJAC0009,81074,1940,02,25,,,
IDCJAC0009,81074,1940,02,26,,,
IDCJAC0009,81074,1940,02,27,,,
IDCJAC0009,81074,1940,02,28,,,
IDCJAC0009,81074,1940,02,29,,,
IDCJAC0009,81074,1940,03,01,0.0,,Y
IDCJAC0009,81074,1940,03,02,0.0,,Y
IDCJAC0009,81074,1940,03,03,0.0,,Y
IDCJAC0009,81074,1940,03,04,0.0,,Y
IDCJAC0009,81074,1940,03,05,0.0,,Y
IDCJAC0009,81074,1940,03,06,0.0,,Y
IDCJAC0009,81074,1940,03,07,0.0,,Y
IDCJAC0009,81074,1940,03,08,0.0,,Y
IDCJAC0009,81074,1940,03,09,0.0,,Y
IDCJAC0009,81074,1940,03,10,0.0,,Y
IDCJAC0009,81074,1940,03,11,0.0,,Y
IDCJAC0009,81074,1940,03,12,0.0,,Y
IDCJAC0009,81074,1940,03,13,0.0,,Y
IDCJAC0009,81074,1940,03,14,0.0,,Y
IDCJAC0009,81074,1940,03,15,0.0,,Y
IDCJAC0009,81074,1940,03,16,0.0,,Y
IDCJAC0009,81074,1940,03,17,0.0,,Y
IDCJAC0009,81074,1940,03,18,0.0,,Y
IDCJAC0009,81074,1940,03,19,4.3,1,Y
IDCJAC0009,81074,1940,03,20,4.1,1,Y
IDCJAC0009,81074,1940,03,21,0.0,,Y
IDCJAC0009,81074,1940,03,22,0.0,,Y
IDCJAC0009,81074,1940,03,23,0.0,,Y
IDCJAC0009,81074,1940,03,24,0.0,,Y
IDCJAC0009,81074,1940,03,25,0.0,,Y
IDCJAC0009,81074,1940,03,26,0.0,,Y
IDCJAC0009,81074,1940,03,27,0.0,,Y
IDCJAC0009,81074,1940,03,28,0.0,,Y
IDCJAC0009,81074,1940,03,29,0.0,,Y
IDCJAC0009,81074,1940,03,30,0.0,,Y
IDCJAC0009,81074,1940,03,31,2.5,1,Y
IDCJAC0009,81074,1940,04,01,4.6,1,Y
IDCJAC0009,81074,1940,04,02,0.0,,Y
IDCJAC0009,81074,1940,04,03,0.0,,Y
IDCJAC0009,81074,1940,04,04,1.3,1,Y
IDCJAC0009,81074,1940,04,05,0.0,,Y
IDCJAC0009,81074,1940,04,06,0.0,,Y
IDCJAC0009,81074,1940,04,07,0.0,,Y
IDCJAC0009,81074,1940,04,08,0.0,,Y
IDCJAC0009,81074,1940,04,09,0.0,,Y
IDCJAC0009,81074,1940,04,10,0.0,,Y
IDCJAC0009,81074,1940,04,11,0.0,,Y
IDCJAC0009,81074,1940,04,12,0.0,,Y
IDCJAC0009,81074,1940,04,13,2.5,1,Y
IDCJAC0009,81074,1940,04,14,0.0,,Y
IDCJAC0009,81074,1940,04,15,9.1,1,Y
IDCJAC0009,81074,1940,04,16,5.6,1,Y
IDCJAC0009,81074,1940,04,17,0.0,,Y
IDCJAC0009,81074,1940,04,18,0.0,,Y
IDCJAC0009,81074,1940,04,19,0.0,,Y
IDCJAC0009,81074,1940,04,20,0.0,,Y
IDCJAC0009,81074,1940,04,21,0.0,,Y
IDCJAC0009,81074,1940,04,22,0.0,,Y
IDCJAC0009,81074,1940,04,23,0.0,,Y
IDCJAC0009,81074,1940,04,24,1.3,1,Y
IDCJAC0009,81074,1940,04,25,16.8,1,Y
IDCJAC0009,81074,1940,04,26,2.5,1,Y
IDCJAC0009,81074,1940,04,27,0.0,,Y
IDCJAC0009,81074,1940,04,28,0.0,,Y
IDCJAC0009,81074,1940,04,29,0.0,,Y
IDCJAC0009,81074,1940,04,30,10.7,1,Y
IDCJAC0009,81074,1940,05,01,0.0,,Y
IDCJAC0009,81074,1940,05,02,0.0,,Y
IDCJAC0009,81074,1940,05,03,0.0,,Y
IDCJAC0009,81074,1940,05,04,0.0,,Y
IDCJAC0009,81074,1940,05,05,0.0,,Y
IDCJAC0009,81074,1940,05,06,0.0,,Y
IDCJAC0009,81074,1940,05,07,0.0,,Y
IDCJAC0009,81074,1940,05,08,0.0,,Y
IDCJAC0009,81074,1940,05,09,0.0,,Y
IDCJAC0009,81074,1940,05,10,0.0,,Y
IDCJAC0009,81074,1940,05,11,0.0,,Y
IDCJAC0009,81074,1940,05,12,0.0,,Y
IDCJAC0009,81074,1940,05,13,0.0,,Y
IDCJAC0009,81074,1940,05,14,0.0,,Y
IDCJAC0009,81074,1940,05,15,0.0,,Y
IDCJAC0009,81074,1940,05,16,0.0,,Y
IDCJAC0009,81074,1940,05,17,5.6,1,Y
IDCJAC0009,81074,1940,05,18,0.0,,Y
IDCJAC0009,81074,1940,05,19,0.0,,Y
IDCJAC0009,81074,1940,05,20,0.0,,Y
IDCJAC0009,81074,1940,05,21,0.0,,Y
IDCJAC0009,81074,1940,05,22,0.0,,Y
IDCJAC0009,81074,1940,05,23,0.0,,Y
IDCJAC0009,81074,1940,05,24,0.0,,Y
IDCJAC0009,81074,1940,05,25,0.0,,Y
IDCJAC0009,81074,1940,05,26,0.0,,Y
IDCJAC0009,81074,1940,05,27,0.0,,Y
IDCJAC0009,81074,1940,05,28,0.0,,Y
IDCJAC0009,81074,1940,05,29,0.0,,Y
IDCJAC0009,81074,1940,05,30,1.3,1,Y
IDCJAC0009,81074,1940,05,31,0.5,1,Y
IDCJAC0009,81074,1940,06,01,0.0,,Y
IDCJAC0009,81074,1940,06,02,0.0,,Y
IDCJAC0009,81074,1940,06,03,0.0,,Y
IDCJAC0009,81074,1940,06,04,0.0,,Y
IDCJAC0009,81074,1940,06,05,0.0,,Y
IDCJAC0009,81074,1940,06,06,0.0,,Y
IDCJAC0009,81074,1940,06,07,2.3,1,Y
IDCJAC0009,81074,1940,06,08,0.0,,Y
IDCJAC0009,81074,1940,06,09,0.0,,Y
IDCJAC0009,81074,1940,06,10,0.0,,Y
IDCJAC0009,81074,1940,06,11,0.0,,Y
IDCJAC0009,81074,1940,06,12,0.0,,Y
IDCJAC0009,81074,1940,06,13,1.3,1,Y
IDCJAC0009,81074,1940,06,14,0.0,,Y
IDCJAC0009,81074,1940,06,15,0.0,,Y
IDCJAC0009,81074,1940,06,16,0.3,1,Y
IDCJAC0009,81074,1940,06,17,0.0,,Y
IDCJAC0009,81074,1940,06,18,0.0,,Y
IDCJAC0009,81074,1940,06,19,0.0,,Y
IDCJAC0009,81074,1940,06,20,1.8,1,Y
IDCJAC0009,81074,1940,06,21,0.0,,Y
IDCJAC0009,81074,1940,06,22,0.8,1,Y
IDCJAC0009,81074,1940,06,23,0.0,,Y
IDCJAC0009,81074,1940,06,24,0.0,,Y
IDCJAC0009,81074,1940,06,25,0.0,,Y
IDCJAC0009,81074,1940,06,26,0.0,,Y
IDCJAC0009,81074,1940,06,27,0.0,,Y
IDCJAC0009,81074,1940,06,28,4.1,1,Y
IDCJAC0009,81074,1940,06,29,0.0,,Y
IDCJAC0009,81074,1940,06,30,0.0,,Y
IDCJAC0009,81074,1940,07,01,4.6,1,Y
IDCJAC0009,81074,1940,07,02,0.0,,Y
IDCJAC0009,81074,1940,07,03,0.0,,Y
IDCJAC0009,81074,1940,07,04,0.0,,Y
IDCJAC0009,81074,1940,07,05,0.0,,Y
IDCJAC0009,81074,1940,07,06,0.0,,Y
IDCJAC0009,81074,1940,07,07,0.0,,Y
IDCJAC0009,81074,1940,07,08,0.0,,Y
IDCJAC0009,81074,1940,07,09,1.3,1,Y
IDCJAC0009,81074,1940,07,10,4.8,1,Y
IDCJAC0009,81074,1940,07,11,2.5,1,Y
IDCJAC0009,81074,1940,07,12,0.5,1,Y
IDCJAC0009,81074,1940,07,13,2.0,1,Y
IDCJAC0009,81074,1940,07,14,1.8,1,Y
IDCJAC0009,81074,1940,07,15,0.0,,Y
IDCJAC0009,81074,1940,07,16,0.0,,Y
IDCJAC0009,81074,1940,07,17,4.6,1,Y
IDCJAC0009,81074,1940,07,18,0.0,,Y
IDCJAC0009,81074,1940,07,19,0.0,,Y
IDCJAC0009,81074,1940,07,20,3.6,1,Y
IDCJAC0009,81074,1940,07,21,0.0,,Y
IDCJAC0009,81074,1940,07,22,0.0,,Y
IDCJAC0009,81074,1940,07,23,1.5,1,Y
IDCJAC0009,81074,1940,07,24,0.0,,Y
IDCJAC0009,81074,1940,07,25,0.0,,Y
IDCJAC0009,81074,1940,07,26,0.0,,Y
IDCJAC0009,81074,1940,07,27,0.0,,Y
IDCJAC0009,81074,1940,07,28,0.0,,Y
IDCJAC0009,81074,1940,07,29,9.1,1,Y
IDCJAC0009,81074,1940,07,30,1.3,1,Y
IDCJAC0009,81074,1940,07,31,0.0,,Y
IDCJAC0009,81074,1940,08,01,0.0,,Y
IDCJAC0009,81074,1940,08,02,0.0,,Y
IDCJAC0009,81074,1940,08,03,0.0,,Y
IDCJAC0009,81074,1940,08,04,0.0,,Y
IDCJAC0009,81074,1940,08,05,0.0,,Y
IDCJAC0009,81074,1940,08,06,9.9,1,Y
IDCJAC0009,81074,1940,08,07,0.0,,Y
IDCJAC0009,81074,1940,08,08,0.0,,Y
IDCJAC0009,81074,1940,08,09,0.0,,Y
IDCJAC0009,81074,1940,08,10,0.0,,Y
IDCJAC0009,81074,1940,08,11,0.0,,Y
IDCJAC0009,81074,1940,08,12,0.0,,Y
IDCJAC0009,81074,1940,08,13,1.0,1,Y
IDCJAC0009,81074,1940,08,14,0.5,1,Y
IDCJAC0009,81074,1940,08,15,0.0,,Y
IDCJAC0009,81074,1940,08,16,0.8,1,Y
IDCJAC0009,81074,1940,08,17,0.3,1,Y
IDCJAC0009,81074,1940,08,18,0.0,,Y
IDCJAC0009,81074,1940,08,19,0.0,,Y
IDCJAC0009,81074,1940,08,20,0.0,,Y
IDCJAC0009,81074,1940,08,21,0.0,,Y
IDCJAC0009,81074,1940,08,22,0.0,,Y
IDCJAC0009,81074,1940,08,23,0.0,,Y
IDCJAC0009,81074,1940,08,24,0.0,,Y
IDCJAC0009,81074,1940,08,25,0.0,,Y
IDCJAC0009,81074,1940,08,26,0.0,,Y
IDCJAC0009,81074,1940,08,27,0.0,,Y
IDCJAC0009,81074,1940,08,28,0.0,,Y
IDCJAC0009,81074,1940,08,29,4.3,1,Y
IDCJAC0009,81074,1940,08,30,0.0,,Y
IDCJAC0009,81074,1940,08,31,0.0,,Y
IDCJAC0009,81074,1940,09,01,0.0,,Y
IDCJAC0009,81074,1940,09,02,0.0,,Y
IDCJAC0009,81074,1940,09,03,0.0,,Y
IDCJAC0009,81074,1940,09,04,0.0,,Y
IDCJAC0009,81074,1940,09,05,0.3,1,Y
IDCJAC0009,81074,1940,09,06,0.0,,Y
IDCJAC0009,81074,1940,09,07,0.0,,Y
IDCJAC0009,81074,1940,09,08,0.0,,Y
IDCJAC0009,81074,1940,09,09,0.0,,Y
IDCJAC0009,81074,1940,09,10,0.0,,Y
IDCJAC0009,81074,1940,09,11,0.0,,Y
IDCJAC0009,81074,1940,09,12,11.7,1,Y
IDCJAC0009,81074,1940,09,13,23.6,1,Y
IDCJAC0009,81074,1940,09,14,0.0,,Y
IDCJAC0009,81074,1940,09,15,0.0,,Y
IDCJAC0009,81074,1940,09,16,0.0,,Y
IDCJAC0009,81074,1940,09,17,0.0,,Y
IDCJAC0009,81074,1940,09,18,6.1,1,Y
IDCJAC0009,81074,1940,09,19,0.0,,Y
IDCJAC0009,81074,1940,09,20,0.0,,Y
IDCJAC0009,81074,1940,09,21,6.4,1,Y
IDCJAC0009,81074,1940,09,22,8.1,1,Y
IDCJAC0009,81074,1940,09,23,0.0,,Y
IDCJAC0009,81074,1940,09,24,0.0,,Y
IDCJAC0009,81074,1940,09,25,0.0,,Y
IDCJAC0009,81074,1940,09,26,0.0,,Y
IDCJAC0009,81074,1940,09,27,15.7,1,Y
IDCJAC0009,81074,1940,09,28,3.6,1,Y
IDCJAC0009,81074,1940,09,29,0.0,,Y
IDCJAC0009,81074,1940,09,30,0.0,,Y
IDCJAC0009,81074,1940,10,01,0.0,,Y
IDCJAC0009,81074,1940,10,02,0.0,,Y
IDCJAC0009,81074,1940,10,03,0.0,,Y
IDCJAC0009,81074,1940,10,04,0.0,,Y
IDCJAC0009,81074,1940,10,05,0.0,,Y
IDCJAC0009,81074,1940,10,06,0.0,,Y
IDCJAC0009,81074,1940,10,07,0.0,,Y
IDCJAC0009,81074,1940,10,08,0.0,,Y
IDCJAC0009,81074,1940,10,09,0.0,,Y
IDCJAC0009,81074,1940,10,10,0.0,,Y
IDCJAC0009,81074,1940,10,11,0.0,,Y
IDCJAC0009,81074,1940,10,12,0.0,,Y
IDCJAC0009,81074,1940,10,13,0.0,,Y
IDCJAC0009,81074,1940,10,14,0.0,,Y
IDCJAC0009,81074,1940,10,15,0.0,,Y
IDCJAC0009,81074,1940,10,16,0.0,,Y
IDCJAC0009,81074,1940,10,17,0.0,,Y
IDCJAC0009,81074,1940,10,18,0.0,,Y
IDCJAC0009,81074,1940,10,19,0.0,,Y
IDCJAC0009,81074,1940,10,20,0.0,,Y
IDCJAC0009,81074,1940,10,21,0.0,,Y
IDCJAC0009,81074,1940,10,22,0.0,,Y
IDCJAC0009,81074,1940,10,23,7.4,1,Y
IDCJAC0009,81074,1940,10,24,0.0,,Y
IDCJAC0009,81074,1940,10,25,0.0,,Y
IDCJAC0009,81074,1940,10,26,0.0,,Y
IDCJAC0009,81074,1940,10,27,0.0,,Y
IDCJAC0009,81074,1940,10,28,0.0,,Y
IDCJAC0009,81074,1940,10,29,0.0,,Y
IDCJAC0009,81074,1940,10,30,0.0,,Y
IDCJAC0009,81074,1940,10,31,0.0,,Y
IDCJAC0009,81074,1940,11,01,0.0,,Y
IDCJAC0009,81074,1940,11,02,0.0,,Y
IDCJAC0009,81074,1940,11,03,1.8,1,Y
IDCJAC0009,81074,1940,11,04,0.0,,Y
IDCJAC0009,81074,1940,11,05,0.0,,Y
IDCJAC0009,81074,1940,11,06,0.0,,Y
IDCJAC0009,81074,1940,11,07,0.0,,Y
IDCJAC0009,81074,1940,11,08,0.0,,Y
IDCJAC0009,81074,1940,11,09,2.0,1,Y
IDCJAC0009,81074,1940,11,10,0.0,,Y
IDCJAC0009,81074,1940,11,11,1.3,1,Y
IDCJAC0009,81074,1940,11,12,0.0,,Y
IDCJAC0009,81074,1940,11,13,0.0,,Y
IDCJAC0009,81074,1940,11,14,0.0,,Y
IDCJAC0009,81074,1940,11,15,0.0,,Y
IDCJAC0009,81074,1940,11,16,0.0,,Y
IDCJAC0009,81074,1940,11,17,0.0,,Y
IDCJAC0009,81074,1940,11,18,0.0,,Y
IDCJAC0009,81074,1940,11,19,0.0,,Y
IDCJAC0009,81074,1940,11,20,0.0,,Y
IDCJAC0009,81074,1940,11,21,0.0,,Y
IDCJAC0009,81074,1940,11,22,0.0,,Y
IDCJAC0009,81074,1940,11,23,5.8,1,Y
IDCJAC0009,81074,1940,11,24,0.0,,Y
IDCJAC0009,81074,1940,11,25,0.0,,Y
IDCJAC0009,81074,1940,11,26,0.0,,Y
IDCJAC0009,81074,1940,11,27,0.0,,Y
IDCJAC0009,81074,1940,11,28,0.0,,Y
IDCJAC0009,81074,1940,11,29,0.0,,Y
IDCJAC0009,81074,1940,11,30,0.0,,Y
IDCJAC0009,81074,1940,12,01,0.0,,Y
IDCJAC0009,81074,1940,12,02,0.0,,Y
IDCJAC0009,81074,1940,12,03,0.0,,Y
IDCJAC0009,81074,1940,12,04,0.0,,Y
IDCJAC0009,81074,1940,12,05,0.0,,Y
IDCJAC0009,81074,1940,12,06,0.0,,Y
IDCJAC0009,81074,1940,12,07,0.0,,Y
IDCJAC0009,81074,1940,12,08,0.0,,Y
IDCJAC0009,81074,1940,12,09,0.0,,Y
IDCJAC0009,81074,1940,12,10,0.0,,Y
IDCJAC0009,81074,1940,12,11,0.0,,Y
IDCJAC0009,81074,1940,12,12,0.0,,Y
IDCJAC0009,81074,1940,12,13,0.0,,Y
IDCJAC0009,81074,1940,12,14,0.0,,Y
IDCJAC0009,81074,1940,12,15,0.0,,Y
IDCJAC0009,81074,1940,12,16,0.8,1,Y
IDCJAC0009,81074,1940,12,17,0.0,,Y
IDCJAC0009,81074,1940,12,18,0.0,,Y
IDCJAC0009,81074,1940,12,19,0.0,,Y
IDCJAC0009,81074,1940,12,20,0.0,,Y
IDCJAC0009,81074,1940,12,21,0.0,,Y
IDCJAC0009,81074,1940,12,22,0.0,,Y
IDCJAC0009,81074,1940,12,23,0.0,,Y
IDCJAC0009,81074,1940,12,24,0.0,,Y
IDCJAC0009,81074,1940,12,25,0.0,,Y
IDCJAC0009,81074,1940,12,26,0.0,,Y
IDCJAC0009,81074,1940,12,27,0.0,,Y
IDCJAC0009,81074,1940,12,28,2.5,1,Y
IDCJAC0009,81074,1940,12,29,0.0,,Y
IDCJAC0009,81074,1940,12,30,0.0,,Y
IDCJAC0009,81074,1940,12,31,0.0,,Y
IDCJAC0009,81074,1941,01,01,0.0,,Y
IDCJAC0009,81074,1941,01,02,0.0,,Y
IDCJAC0009,81074,1941,01,03,0.0,,Y
IDCJAC0009,81074,1941,01,04,6.9,1,Y
IDCJAC0009,81074,1941,01,05,0.0,,Y
IDCJAC0009,81074,1941,01,06,0.0,,Y
IDCJAC0009,81074,1941,01,07,0.0,,Y
IDCJAC0009,81074,1941,01,08,0.0,,Y
IDCJAC0009,81074,1941,01,09,0.0,,Y
IDCJAC0009,81074,1941,01,10,0.0,,Y
IDCJAC0009,81074,1941,01,11,0.0,,Y
IDCJAC0009,81074,1941,01,12,0.0,,Y
IDCJAC0009,81074,1941,01,13,0.0,,Y
IDCJAC0009,81074,1941,01,14,0.0,,Y
IDCJAC0009,81074,1941,01,15,0.0,,Y
IDCJAC0009,81074,1941,01,16,5.1,1,Y
IDCJAC0009,81074,1941,01,17,0.0,,Y
IDCJAC0009,81074,1941,01,18,0.0,,Y
IDCJAC0009,81074,1941,01,19,0.0,,Y
IDCJAC0009,81074,1941,01,20,0.0,,Y
IDCJAC0009,81074,1941,01,21,0.0,,Y
IDCJAC0009,81074,1941,01,22,0.0,,Y
IDCJAC0009,81074,1941,01,23,6.1,1,Y
IDCJAC0009,81074,1941,01,24,33.5,1,Y
IDCJAC0009,81074,1941,01,25,21.3,1,Y
IDCJAC0009,81074,1941,01,26,8.9,1,Y
IDCJAC0009,81074,1941,01,27,0.0,,Y
IDCJAC0009,81074,1941,01,28,0.0,,Y
IDCJAC0009,81074,1941,01,29,0.0,,Y
IDCJAC0009,81074,1941,01,30,0.0,,Y
IDCJAC0009,81074,1941,01,31,0.0,,Y
IDCJAC0009,81074,1941,02,01,0.0,,Y
IDCJAC0009,81074,1941,02,02,0.0,,Y
IDCJAC0009,81074,1941,02,03,0.0,,Y
IDCJAC0009,81074,1941,02,04,0.0,,Y
IDCJAC0009,81074,1941,02,05,0.0,,Y
IDCJAC0009,81074,1941,02,06,1.0,1,Y
IDCJAC0009,81074,1941,02,07,0.0,,Y
IDCJAC0009,81074,1941,02,08,0.0,,Y
IDCJAC0009,81074,1941,02,09,0.0,,Y
IDCJAC0009,81074,1941,02,10,0.0,,Y
IDCJAC0009,81074,1941,02,11,0.0,,Y
IDCJAC0009,81074,1941,02,12,0.0,,Y
IDCJAC0009,81074,1941,02,13,0.0,,Y
IDCJAC0009,81074,1941,02,14,0.0,,Y
IDCJAC0009,81074,1941,02,15,0.0,,Y
IDCJAC0009,81074,1941,02,16,0.0,,Y
IDCJAC0009,81074,1941,02,17,1.8,1,Y
IDCJAC0009,81074,1941,02,18,0.0,,Y
IDCJAC0009,81074,1941,02,19,0.0,,Y
IDCJAC0009,81074,1941,02,20,0.0,,Y
IDCJAC0009,81074,1941,02,21,0.0,,Y
IDCJAC0009,81074,1941,02,22,0.0,,Y
IDCJAC0009,81074,1941,02,23,0.0,,Y
IDCJAC0009,81074,1941,02,24,5.8,1,Y
IDCJAC0009,81074,1941,02,25,0.0,,Y
IDCJAC0009,81074,1941,02,26,0.0,,Y
IDCJAC0009,81074,1941,02,27,0.0,,Y
IDCJAC0009,81074,1941,02,28,0.0,,Y
IDCJAC0009,81074,1941,03,01,3.8,1,Y
IDCJAC0009,81074,1941,03,02,0.0,,Y
IDCJAC0009,81074,1941,03,03,8.9,1,Y
IDCJAC0009,81074,1941,03,04,0.0,,Y
IDCJAC0009,81074,1941,03,05,0.0,,Y
IDCJAC0009,81074,1941,03,06,0.0,,Y
IDCJAC0009,81074,1941,03,07,0.0,,Y
IDCJAC0009,81074,1941,03,08,0.0,,Y
IDCJAC0009,81074,1941,03,09,0.0,,Y
IDCJAC0009,81074,1941,03,10,0.0,,Y
IDCJAC0009,81074,1941,03,11,0.0,,Y
IDCJAC0009,81074,1941,03,12,0.0,,Y
IDCJAC0009,81074,1941,03,13,0.0,,Y
IDCJAC0009,81074,1941,03,14,0.0,,Y
IDCJAC0009,81074,1941,03,15,0.0,,Y
IDCJAC0009,81074,1941,03,16,0.0,,Y
IDCJAC0009,81074,1941,03,17,0.0,,Y
IDCJAC0009,81074,1941,03,18,0.0,,Y
IDCJAC0009,81074,1941,03,19,3.3,1,Y
IDCJAC0009,81074,1941,03,20,6.6,1,Y
IDCJAC0009,81074,1941,03,21,19.3,1,Y
IDCJAC0009,81074,1941,03,22,0.0,,Y
IDCJAC0009,81074,1941,03,23,0.0,,Y
IDCJAC0009,81074,1941,03,24,0.0,,Y
IDCJAC0009,81074,1941,03,25,0.0,,Y
IDCJAC0009,81074,1941,03,26,0.0,,Y
IDCJAC0009,81074,1941,03,27,0.0,,Y
IDCJAC0009,81074,1941,03,28,0.0,,Y
IDCJAC0009,81074,1941,03,29,0.0,,Y
IDCJAC0009,81074,1941,03,30,0.0,,Y
IDCJAC0009,81074,1941,03,31,0.0,,Y
IDCJAC0009,81074,1941,04,01,0.0,,Y
IDCJAC0009,81074,1941,04,02,0.0,,Y
IDCJAC0009,81074,1941,04,03,0.0,,Y
IDCJAC0009,81074,1941,04,04,8.4,1,Y
IDCJAC0009,81074,1941,04,05,0.0,,Y
IDCJAC0009,81074,1941,04,06,0.0,,Y
IDCJAC0009,81074,1941,04,07,0.0,,Y
IDCJAC0009,81074,1941,04,08,0.0,,Y
IDCJAC0009,81074,1941,04,09,0.0,,Y
IDCJAC0009,81074,1941,04,10,0.0,,Y
IDCJAC0009,81074,1941,04,11,0.0,,Y
IDCJAC0009,81074,1941,04,12,0.0,,Y
IDCJAC0009,81074,1941,04,13,0.0,,Y
IDCJAC0009,81074,1941,04,14,0.0,,Y
IDCJAC0009,81074,1941,04,15,0.0,,Y
IDCJAC0009,81074,1941,04,16,0.0,,Y
IDCJAC0009,81074,1941,04,17,0.0,,Y
IDCJAC0009,81074,1941,04,18,0.0,,Y
IDCJAC0009,81074,1941,04,19,0.0,,Y
IDCJAC0009,81074,1941,04,20,0.0,,Y
IDCJAC0009,81074,1941,04,21,4.6,1,Y
IDCJAC0009,81074,1941,04,22,14.5,1,Y
IDCJAC0009,81074,1941,04,23,0.0,,Y
IDCJAC0009,81074,1941,04,24,18.0,1,Y
IDCJAC0009,81074,1941,04,25,7.6,1,Y
IDCJAC0009,81074,1941,04,26,0.0,,Y
IDCJAC0009,81074,1941,04,27,0.0,,Y
IDCJAC0009,81074,1941,04,28,0.0,,Y
IDCJAC0009,81074,1941,04,29,0.0,,Y
IDCJAC0009,81074,1941,04,30,0.0,,Y
IDCJAC0009,81074,1941,05,01,0.0,,Y
IDCJAC0009,81074,1941,05,02,0.0,,Y
IDCJAC0009,81074,1941,05,03,0.0,,Y
IDCJAC0009,81074,1941,05,04,0.0,,Y
IDCJAC0009,81074,1941,05,05,0.0,,Y
IDCJAC0009,81074,1941,05,06,0.0,,Y
IDCJAC0009,81074,1941,05,07,0.0,,Y
IDCJAC0009,81074,1941,05,08,0.0,,Y
IDCJAC0009,81074,1941,05,09,3.3,1,Y
IDCJAC0009,81074,1941,05,10,0.0,,Y
IDCJAC0009,81074,1941,05,11,1.8,1,Y
IDCJAC0009,81074,1941,05,12,0.0,,Y
IDCJAC0009,81074,1941,05,13,0.0,,Y
IDCJAC0009,81074,1941,05,14,0.0,,Y
IDCJAC0009,81074,1941,05,15,0.0,,Y
IDCJAC0009,81074,1941,05,16,0.0,,Y
IDCJAC0009,81074,1941,05,17,0.0,,Y
IDCJAC0009,81074,1941,05,18,0.0,,Y
IDCJAC0009,81074,1941,05,19,0.0,,Y
IDCJAC0009,81074,1941,05,20,0.0,,Y
IDCJAC0009,81074,1941,05,21,0.0,,Y
IDCJAC0009,81074,1941,05,22,0.0,,Y
IDCJAC0009,81074,1941,05,23,0.0,,Y
IDCJAC0009,81074,1941,05,24,0.0,,Y
IDCJAC0009,81074,1941,05,25,0.0,,Y
IDCJAC0009,81074,1941,05,26,0.0,,Y
IDCJAC0009,81074,1941,05,27,0.0,,Y
IDCJAC0009,81074,1941,05,28,0.0,,Y
IDCJAC0009,81074,1941,05,29,0.0,,Y
IDCJAC0009,81074,1941,05,30,0.0,,Y
IDCJAC0009,81074,1941,05,31,0.0,,Y
IDCJAC0009,81074,1941,06,01,5.3,1,Y
IDCJAC0009,81074,1941,06,02,6.4,1,Y
IDCJAC0009,81074,1941,06,03,0.3,1,Y
IDCJAC0009,81074,1941,06,04,0.0,,Y
IDCJAC0009,81074,1941,06,05,0.0,,Y
IDCJAC0009,81074,1941,06,06,0.0,,Y
IDCJAC0009,81074,1941,06,07,2.5,1,Y
IDCJAC0009,81074,1941,06,08,10.2,1,Y
IDCJAC0009,81074,1941,06,09,11.2,1,Y
IDCJAC0009,81074,1941,06,10,1.0,1,Y
IDCJAC0009,81074,1941,06,11,0.0,,Y
IDCJAC0009,81074,1941,06,12,0.0,,Y
IDCJAC0009,81074,1941,06,13,0.0,,Y
IDCJAC0009,81074,1941,06,14,0.0,,Y
IDCJAC0009,81074,1941,06,15,0.0,,Y
IDCJAC0009,81074,1941,06,16,0.0,,Y
IDCJAC0009,81074,1941,06,17,0.3,1,Y
IDCJAC0009,81074,1941,06,18,3.0,1,Y
IDCJAC0009,81074,1941,06,19,0.0,,Y
IDCJAC0009,81074,1941,06,20,3.0,1,Y
IDCJAC0009,81074,1941,06,21,5.8,1,Y
IDCJAC0009,81074,1941,06,22,0.0,,Y
IDCJAC0009,81074,1941,06,23,0.8,1,Y
IDCJAC0009,81074,1941,06,24,0.0,,Y
IDCJAC0009,81074,1941,06,25,0.0,,Y
